대분류코드,대분류명,대분류명_2023파일,중분류코드,중분류명,중분류명_2023파일,소분류수,소분류코드,소분류명
M1,과학·기술,"전문, 과학 및 기술 서비스업",M103,법무관련 ,법무관련 서비스업,8,M10301 | M10302 | M10303 | M10304 | M10305 | M10306 | M10307 | M10399,변호사 | 변리사 | 법무사 | 공증인 | 집행관 | 행정사 | 공인노무사 | 기타 법무관련 서비스업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M104,회계·세무,회계 및 세무관련 서비스업,3,M10401 | M10402 | M10499,공인회계사 | 세무사 | 기타 회계 관련 서비스업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M105,광고,광고업,5,M10501 | M10502 | M10503 | M10504 | M10599,광고 대행업 | 옥외/전시 광고 대행업 | 광고 매체 판매업 | 광고물 설계/제작업 | 기타 광고 관련 서비스업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M106,시장 조사,시장 조사 및 여론 조사업,1,M10601,시장 조사 및 여론 조사업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M107,본사·경영 컨설팅,회사 본부 및 경영 컨설팅 서비스업,5,M10701 | M10702 | M10703 | M10704 | M10705,제조업 회사 본부 | 기타 산업 회사본부 | 경영 컨설팅업 | 경영 컨설팅업(인적용역) | 공공관계 서비스업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M109,기술 서비스,"건축 기술, 엔지니어링 및 관련 기술 서비스업",5,M10901 | M10902 | M10903 | M10904 | M10999,건축 설계 및 관련 서비스업 | 도시 계획 및 조경 설계 서비스업 | 건물 및 토목 엔지니어링 서비스업 | 환경 관련 엔지니어링 서비스업 | 기타 엔지니어링 서비스업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M111,수의,수의업,1,M11101,동물병원
M1,과학·기술,"전문, 과학 및 기술 서비스업",M112,전문 디자인,전문 디자인업,4,M11201 | M11202 | M11203 | M11204,인테리어 디자인업 | 제품 디자인업 | 시각 디자인업 | 패션/섬유/기타 전문 디자인업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M113,사진 촬영,사진 촬영 및 처리업,1,M11301,사진촬영업
M1,과학·기술,"전문, 과학 및 기술 서비스업",M114,인쇄·제품제작,인쇄 및 제품 제작업,1,M11401,명함/간판/광고물 제작
M1,과학·기술,"전문, 과학 및 기술 서비스업",M115,기타 전문 과학,"그 외 기타 전문, 과학 및 기술 서비스업",6,M11501 | M11502 | M11503 | M11504 | M11505 | M11599,매니저 | 번역/통역 서비스업 | 번역/통역 서비스업(인적용역) | 사업/무형 재산권 중개업 | 물품 감정/계량/견본 추출업 | 그 외 기타 전문/과학/기술 서비스업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N101,시설관리,사업시설 유지ㆍ관리 서비스업,1,N10101,사업시설 유지·관리 서비스업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N102,청소·방제,건물ㆍ산업설비 청소 및 방제 서비스업,3,N10201 | N10202 | N10203,"건축물 일반 청소업 | 산업설비, 운송장비 및 공공장소 청소업 | 소독, 구충 및 방제 서비스업"
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N103,조경·유지,조경관리 및 유지 서비스업,1,N10301,조경 유지·관리 서비스업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N104,고용 알선,고용 알선 및 인력 공급업,3,N10401 | N10402 | N10403,고용 알선업 | 임시/일용 인력 공급업 | 상용 인력 공급 및 인사관리 서비스업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N105,여행사·보조,여행사 및 기타 여행 보조 서비스업,2,N10501 | N10599,여행사 | 기타 여행 보조/예약 서비스업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N107,사무 지원,사무 지원 서비스업,4,N10701 | N10702 | N10703 | N10799,문서 작성업 | 문서 작성업(인적용역) | 복사업 | 기타 사무 지원 서비스업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N108,기타 사업 서비스,기타 사업 지원 서비스업,7,N10801 | N10802 | N10803 | N10804 | N10805 | N10806 | N10899,콜센터 및 텔레마케팅 서비스업 | 전시/컨벤션/행사 대행 서비스업 | 신용 조사/추심 대행업 | 신용 조사/추심 대행업(인적용역) | 포장/충전업 | 그 외 기타 사업 지원 서비스업 | 그 외 기타 사업 지원 서비스업(인적용역)
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N109,운송장비 대여,운송장비 대여업,2,N10901 | N10999,자동차 대여업 | 기타 운송장비 대여업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N110,가정용품 대여,개인 및 가정용품 대여업,5,N11001 | N11002 | N11003 | N11004 | N11099,스포츠/레크리에이션 용품 대여업 | 음반/비디오물 대여업 | 만화방 | 의류 대여업 | 기타 개인/가정용품 대여업
N1,시설관리·임대,"사업시설 관리, 사업 지원 및 임대 서비스업",N111,산업용품 대여,산업용 기계 및 장비 대여업,3,N11101 | N11102 | N11199,건설기계/장비 대여업 | 컴퓨터/사무기기 대여업 | 기타 산업용 기계/장비 대여업
P1,교육,교육 서비스업,P105,일반 교육,일반 교육기관,5,P10501 | P10502 | P10503 | P10504 | P10505,입시·교과학원 | 입시·교과학원(인적용역) | 방문 교육학원 | 온라인 교육학원 | 온라인 교육학원(인적용역)
P1,교육,교육 서비스업,P106,기타 교육,기타 교육기관,30,P10601 | P10602 | P10603 | P10604 | P10605 | P10606 | P10607 | P10608 | P10609 | P10610 | P10611 | P10612 | P10613 | P10614 | P10615 | P10616 | P10617 | P10618 | P10619 | P10620 | P10621 | P10622 | P10623 | P10624 | P10625 | P10626 | P10627 | P10628 | P10629 | P10699,태권도/무술학원 | 태권도/무술학원(인적용역) | 요가/필라테스 학원 | 요가/필라테스 학원(인적용역) | 레크리에이션 교육기관 | 레크리에이션 교육기관(인적용역) | 청소년 수련시설 | 청소년 수련시설(인적용역) | 음악학원 | 음악학원(인적용역) | 미술학원 | 미술학원(인적용역) | 기타 예술/스포츠 교육기관 | 기타 예술/스포츠 교육기관(인적용역) | 외국어학원 | 외국어학원(인적용역) | 전문자격/고시학원 | 전문자격/고시학원(인적용역) | 사회교육시설 | 사회교육시설(인적용역) | 직원 훈련기관 | 직원 훈련기관(인적용역) | 운전학원 | 운전학원(인적용역) | 기타 기술/직업 훈련학원 | 기타 기술/직업 훈련학원(인적용역) | 컴퓨터 학원 | 컴퓨터 학원(인적용역) | 그 외 기타 교육기관 | 그 외 기타 교육기관(인적용역)
P1,교육,교육 서비스업,P107,교육 지원,교육 지원 서비스업,2,P10701 | P10799,교육컨설팅업 | 기타 교육지원 서비스업
Q1,보건의료,보건의료업,Q101,병원,병원,5,Q10101 | Q10102 | Q10103 | Q10104 | Q10105,종합병원 | 일반병원 | 치과병원 | 한방병원 | 요양병원
Q1,보건의료,보건의료업,Q102,의원,의원,12,Q10201 | Q10202 | Q10203 | Q10204 | Q10205 | Q10206 | Q10207 | Q10208 | Q10209 | Q10210 | Q10211 | Q10212,내과/소아과 의원 | 외과 의원 | 신경/정신과 의원 | 피부/비뇨기과 의원 | 안과 의원 | 이비인후과 의원 | 산부인과 의원 | 성형외과 의원 | 기타 의원 | 치과의원 | 한의원 | 방사선 진단/병리 검사 의원
Q1,보건의료,보건의료업,Q104,기타 보건,기타 보건업,3,Q10401 | Q10402 | Q10499,앰뷸런스 서비스업 | 유사 의료업 | 그 외 기타 보건업
R1,예술·스포츠,"예술, 스포츠 및 여가관련 서비스업",R102,도서관·사적지,"도서관, 사적지 및 유사 여가관련 서비스업",7,R10201 | R10202 | R10203 | R10204 | R10205 | R10206 | R10299,도서관/기록 보존소 운영업 | 독서실/스터디 카페 | 박물관 | 사적지 관리 운영업 | 식물원/동물원 | 자연공원 운영업 | 기타 여가 서비스
R1,예술·스포츠,"예술, 스포츠 및 여가관련 서비스업",R103,스포츠 서비스,스포츠 서비스업,19,R10301 | R10302 | R10303 | R10304 | R10305 | R10306 | R10307 | R10308 | R10309 | R10310 | R10311 | R10312 | R10313 | R10314 | R10315 | R10316 | R10317 | R10318 | R10399,실내 경기장 | 실외 경기장 | 경주장/동물 경기장 | 골프장 | 스키장 | 종합 스포츠시설 | 헬스장 | 수영장 | 볼링장 | 당구장 | 골프 연습장 | 테니스장 | 탁구장 | 기타 스포츠시설 운영업 | 눈썰매장 | 스쿼시/라켓볼장 | 스포츠 클럽 운영업 | 기타 스포츠 서비스업 | 기타 스포츠 서비스업(인적용역)
R1,예술·스포츠,"예술, 스포츠 및 여가관련 서비스업",R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,R10401 | R10402 | R10403 | R10404 | R10405 | R10406 | R10407 | R10408 | R10409 | R10410 | R10411 | R10412 | R10413 | R10414 | R10499,영화관 | 비디오방 | 놀이공원/테마파크 | 전자 게임장 | 기타 오락장 | PC방 | 노래방 | 낚시터 운영업 | 수상/해양 레저업 | 복권 발행/판매업 | 기타 사행시설 관리/운영업 | 콜라텍/무도장 | 체육 공원 운영업 | 바둑/장기/체스 경기 운영업 | 기타 오락관련 서비스업
S2,수리·개인,수리 및 개인 서비스업,S201,컴퓨터 수리,컴퓨터 및 주변 기기 수리업,1,S20101,컴퓨터/노트북/프린터 수리업
S2,수리·개인,수리 및 개인 서비스업,S202,통신장비 수리,통신장비 수리업,1,S20201,핸드폰/통신장비 수리업
S2,수리·개인,수리 및 개인 서비스업,S203,자동차 수리·세차,자동차 수리 및 세차업,2,S20301 | S20302,자동차 정비소 | 자동차 세차장
S2,수리·개인,수리 및 개인 서비스업,S204,모터사이클 수리,모터사이클 수리업,1,S20401,모터사이클 수리업
S2,수리·개인,수리 및 개인 서비스업,S205,가전제품 수리,가전제품 수리업,1,S20501,가전제품 수리업
S2,수리·개인,수리 및 개인 서비스업,S206,기타 가정용품 수리,기타 개인 및 가정용품 수리업,5,S20601 | S20602 | S20603 | S20604 | S20699,의류/이불 수선업 | 가죽/가방/신발 수선업 | 시계/귀금속/악기 수리업 | 시계/귀금속/악기 수리업(인적용역) | 그 외 기타 개인/가정용품 수리업
S2,수리·개인,수리 및 개인 서비스업,S207,이용·미용,이용 및 미용업,3,S20701 | S20702 | S20703,미용실 | 피부 관리실 | 네일숍
S2,수리·개인,수리 및 개인 서비스업,S208,욕탕·신체관리,"욕탕, 마사지 및 기타 신체 관리 서비스업",4,S20801 | S20802 | S20803 | S20804,목욕탕/사우나 | 마사지/안마 | 체형/비만 관리 | 세신사
S2,수리·개인,수리 및 개인 서비스업,S209,세탁,세탁업,2,S20901 | S20902,세탁소 | 셀프 빨래방
S2,수리·개인,수리 및 개인 서비스업,S210,장례식장 ,장례식장 및 관련 서비스업,2,S21001 | S21002,장례식장 | 화장터/묘지/납골당
S2,수리·개인,수리 및 개인 서비스업,S211,기타 개인,기타 개인서비스,7,S21101 | S21102 | S21103 | S21104 | S21105 | S21106 | S21199,예식장업 | 점술집 | 산후조리원 | 산후조리원(인적용역) | 결혼 상담 서비스업 | 그 외 기타 개인서비스업 | 그 외 기타 개인서비스업(인적용역)
