등급,관계,소상공인_대분류코드,소상공인_대분류명,소상공인_중분류코드,소상공인_중분류명,소상공인_중분류명_2023파일,소상공인_소분류수,서울_업종코드,서울_업종명,서울_업종명_출처,서울_묶음크기,비고
○,묶음대응(1:N),G2,소매,G213,오락용품 소매,"문화, 오락 및 여가 용품 소매업",6,CS300025,자전거 및 기타운송장비,미확인(팀파일),5,음반/비디오물 빠짐
○,묶음대응(1:N),G2,소매,G213,오락용품 소매,"문화, 오락 및 여가 용품 소매업",6,CS300026,완구,미확인(팀파일),5,음반/비디오물 빠짐
○,묶음대응(1:N),I2,음식,I210,기타 간이,기타 간이 음식점업,9,CS100005,제과점,서울API 확인,4,떡/한과·아이스크림 빠짐
○,묶음대응(1:N),I2,음식,I210,기타 간이,기타 간이 음식점업,9,CS100006,패스트푸드점,서울API 확인,4,떡/한과·아이스크림 빠짐
○,묶음대응(1:N),I2,음식,I210,기타 간이,기타 간이 음식점업,9,CS100007,치킨전문점,서울API 확인,4,떡/한과·아이스크림 빠짐
○,묶음대응(1:N),I2,음식,I210,기타 간이,기타 간이 음식점업,9,CS100008,분식전문점,서울API 확인,4,떡/한과·아이스크림 빠짐
○,묶음대응(1:N),M1,과학·기술,M103,법무관련 ,법무관련 서비스업,8,CS200010,변호사사무소,서울API 확인,4,
○,묶음대응(1:N),M1,과학·기술,M103,법무관련 ,법무관련 서비스업,8,CS200011,변리사사무소,미확인(팀파일),4,
○,묶음대응(1:N),M1,과학·기술,M103,법무관련 ,법무관련 서비스업,8,CS200012,법무사사무소,서울API 확인,4,
○,묶음대응(1:N),M1,과학·기술,M103,법무관련 ,법무관련 서비스업,8,CS200013,기타법무서비스,서울API 확인,4,
○,묶음대응(1:N),P1,교육,P106,기타 교육,기타 교육기관,30,CS200002,외국어학원,서울API 확인,4,운전·고시·직업훈련 빠짐
○,묶음대응(1:N),P1,교육,P106,기타 교육,기타 교육기관,30,CS200003,예술학원,서울API 확인,4,운전·고시·직업훈련 빠짐
○,묶음대응(1:N),P1,교육,P106,기타 교육,기타 교육기관,30,CS200004,컴퓨터학원,서울API 확인,4,운전·고시·직업훈련 빠짐
○,묶음대응(1:N),P1,교육,P106,기타 교육,기타 교육기관,30,CS200005,스포츠 강습,서울API 확인,4,운전·고시·직업훈련 빠짐
○,묶음대응(1:N),R1,예술·스포츠,R103,스포츠 서비스,스포츠 서비스업,19,CS200016,당구장,서울API 확인,4,수영장·테니스장 등은 스포츠클럽에 흡수
○,묶음대응(1:N),R1,예술·스포츠,R103,스포츠 서비스,스포츠 서비스업,19,CS200017,골프연습장,서울API 확인,4,수영장·테니스장 등은 스포츠클럽에 흡수
○,묶음대응(1:N),R1,예술·스포츠,R103,스포츠 서비스,스포츠 서비스업,19,CS200018,볼링장,미확인(팀파일),4,수영장·테니스장 등은 스포츠클럽에 흡수
○,묶음대응(1:N),R1,예술·스포츠,R103,스포츠 서비스,스포츠 서비스업,19,CS200024,스포츠클럽,서울API 확인,4,수영장·테니스장 등은 스포츠클럽에 흡수
○,묶음대응(1:N),G2,소매,G208,가전·통신 소매,가전제품 및 정보 통신장비 소매업,3,CS300003,컴퓨터및주변장치판매,서울API 확인,3,
○,묶음대응(1:N),G2,소매,G208,가전·통신 소매,가전제품 및 정보 통신장비 소매업,3,CS300004,핸드폰,서울API 확인,3,
○,묶음대응(1:N),G2,소매,G208,가전·통신 소매,가전제품 및 정보 통신장비 소매업,3,CS300032,가전제품,미확인(팀파일),3,
○,묶음대응(1:N),G2,소매,G215,의약·화장품 소매,"의약품, 의료용 기구, 화장품 및 방향제 소매업",3,CS300018,의약품,미확인(팀파일),3,CS300023 미용재료 경계 겹침
○,묶음대응(1:N),G2,소매,G215,의약·화장품 소매,"의약품, 의료용 기구, 화장품 및 방향제 소매업",3,CS300019,의료기기,미확인(팀파일),3,CS300023 미용재료 경계 겹침
○,묶음대응(1:N),G2,소매,G215,의약·화장품 소매,"의약품, 의료용 기구, 화장품 및 방향제 소매업",3,CS300022,화장품,서울API 확인,3,CS300023 미용재료 경계 겹침
○,묶음대응(1:N),N1,시설관리·임대,N110,가정용품 대여,개인 및 가정용품 대여업,5,CS200045,비디오/서적임대,미확인(팀파일),3,만화방 빠짐
○,묶음대응(1:N),N1,시설관리·임대,N110,가정용품 대여,개인 및 가정용품 대여업,5,CS200046,의류임대,서울API 확인,3,만화방 빠짐
○,묶음대응(1:N),N1,시설관리·임대,N110,가정용품 대여,개인 및 가정용품 대여업,5,CS200047,가정용품임대,미확인(팀파일),3,만화방 빠짐
○,묶음대응(1:N),Q1,보건의료,Q102,의원,의원,12,CS200006,일반의원,서울API 확인,3,의원급만. 병원급은 서울에 없음
○,묶음대응(1:N),Q1,보건의료,Q102,의원,의원,12,CS200007,치과의원,서울API 확인,3,의원급만. 병원급은 서울에 없음
○,묶음대응(1:N),Q1,보건의료,Q102,의원,의원,12,CS200008,한의원,서울API 확인,3,의원급만. 병원급은 서울에 없음
○,묶음대응(1:N),S2,수리·개인,S207,이용·미용,이용 및 미용업,3,CS200028,미용실,서울API 확인,3,
○,묶음대응(1:N),S2,수리·개인,S207,이용·미용,이용 및 미용업,3,CS200029,네일숍,서울API 확인,3,
○,묶음대응(1:N),S2,수리·개인,S207,이용·미용,이용 및 미용업,3,CS200030,피부관리실,서울API 확인,3,
○,묶음대응(1:N),G2,소매,G204,종합 소매,종합 소매업,7,CS300001,슈퍼마켓,서울API 확인,2,백화점·대형마트·아울렛·면세점 빠짐
○,묶음대응(1:N),G2,소매,G204,종합 소매,종합 소매업,7,CS300002,편의점,서울API 확인,2,백화점·대형마트·아울렛·면세점 빠짐
○,묶음대응(1:N),G2,소매,G212,기타 생활용품 소매,기타 생활용품 소매업,3,CS300034,악기,미확인(팀파일),2,주방/가정용품 빠짐
○,묶음대응(1:N),G2,소매,G212,기타 생활용품 소매,기타 생활용품 소매업,3,CS300036,조명용품,서울API 확인,2,주방/가정용품 빠짐
○,묶음대응(1:N),I1,숙박,I101,일반 숙박,일반 및 생활 숙박시설 운영업,4,CS200034,여관,서울API 확인,2,호텔·리조트·펜션·캠핑 빠짐
○,묶음대응(1:N),I1,숙박,I101,일반 숙박,일반 및 생활 숙박시설 운영업,4,CS200035,게스트하우스,서울API 확인,2,호텔·리조트·펜션·캠핑 빠짐
○,묶음대응(1:N),M1,과학·기술,M104,회계·세무,회계 및 세무관련 서비스업,3,CS200014,회계사사무소,서울API 확인,2,
○,묶음대응(1:N),M1,과학·기술,M104,회계·세무,회계 및 세무관련 서비스업,3,CS200015,세무사사무소,서울API 확인,2,
○,묶음대응(1:N),S2,수리·개인,S203,자동차 수리·세차,자동차 수리 및 세차업,2,CS200025,자동차수리,서울API 확인,2,
○,묶음대응(1:N),S2,수리·개인,S203,자동차 수리·세차,자동차 수리 및 세차업,2,CS200026,자동차미용,서울API 확인,2,
○,묶음대응(1:N),G2,소매,G202,자동차 부품 소매,자동차 부품 및 내장품 소매업,2,CS300038,자동차부품,미확인(팀파일),1,타이어 빠짐
○,묶음대응(1:N),G2,소매,G214,연료 소매,연료소매업,3,CS300042,주유소,미확인(팀파일),1,가스충전소·가정용연료 빠짐
○,묶음대응(1:N),G2,소매,G216,안경·정밀기기 소매,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",3,CS300016,안경,미확인(팀파일),1,사무기기·사진장비 빠짐
○,묶음대응(1:N),G2,소매,G218,장식품 소매,"예술품, 기념품 및 장식용품 소매업",2,CS300041,예술품,미확인(팀파일),1,기념품점 빠짐
○,묶음대응(1:N),M1,과학·기술,M115,기타 전문 과학,"그 외 기타 전문, 과학 및 기술 서비스업",6,CS200042,통번역서비스,미확인(팀파일),1,사업/무형재산권 중개 빠짐
○,묶음대응(1:N),N1,시설관리·임대,N102,청소·방제,건물ㆍ산업설비 청소 및 방제 서비스업,3,CS200043,건축물청소,서울API 확인,1,산업설비청소·방제 빠짐
△,경계어긋남,G2,소매,G222,중고 상품 소매,중고 상품 소매업,1,CS300030,중고가구,미확인(팀파일),3,중고차는 우리 75에 판매 중분류가 없음
△,경계어긋남,G2,소매,G222,중고 상품 소매,중고 상품 소매업,1,CS300037,중고차판매,미확인(팀파일),3,중고차는 우리 75에 판매 중분류가 없음
△,경계어긋남,G2,소매,G222,중고 상품 소매,중고 상품 소매업,1,CS300040,재생용품 판매점,미확인(팀파일),3,중고차는 우리 75에 판매 중분류가 없음
△,경계어긋남,G2,소매,G210,철물·건설자재 소매,"철물, 공구, 창호 및 건설자재 소매업",4,CS300033,철물점,미확인(팀파일),2,인테리어는 시공업까지 포함
△,경계어긋남,G2,소매,G210,철물·건설자재 소매,"철물, 공구, 창호 및 건설자재 소매업",4,CS300035,인테리어,서울API 확인,2,인테리어는 시공업까지 포함
△,경계어긋남,G2,소매,G206,음료 소매,음료 소매업,4,CS300005,주류도매,미확인(팀파일),1,서울은 '주류도매' — 도매/소매 층위가 다름
△,경계어긋남,I2,음식,I211,주점,주점업,4,CS100009,호프-간이주점,서울API 확인,1,유흥·무도·요리주점이 서울엔 없음
△,경계어긋남,S2,수리·개인,S201,컴퓨터 수리,컴퓨터 및 주변 기기 수리업,1,CS200023,통신기기수리,서울API 확인,1,S202와 서울 코드 1개를 공유
✗,대응없음,G2,소매,G207,담배 소매,담배 소매업,1,,,,0,담배 소매 없음
✗,대응없음,G2,소매,G221,기타 상품 소매,기타 상품 전문 소매업,1,,,,0,잔여 분류라 대응 개념 없음
✗,대응없음,I2,음식,I205,동남아시아,동남아시아 음식점업,2,,,,0,동남아·기타 외국식 항목 자체가 서울에 없음
✗,대응없음,I2,음식,I206,기타 외국,기타 외국식 음식점업,1,,,,0,동남아·기타 외국식 항목 자체가 서울에 없음
✗,대응없음,I2,음식,I207,구내식당·뷔페,구내식당 및 뷔페,2,,,,0,구내식당·뷔페 없음
✗,대응없음,M1,과학·기술,M105,광고,광고업,5,,,,0,광고업 없음
✗,대응없음,M1,과학·기술,M106,시장 조사,시장 조사 및 여론 조사업,1,,,,0,시장·여론조사 없음
✗,대응없음,M1,과학·기술,M107,본사·경영 컨설팅,회사 본부 및 경영 컨설팅 서비스업,5,,,,0,경영컨설팅 없음
✗,대응없음,M1,과학·기술,M109,기술 서비스,"건축 기술, 엔지니어링 및 관련 기술 서비스업",5,,,,0,건축·엔지니어링 없음
✗,대응없음,M1,과학·기술,M112,전문 디자인,전문 디자인업,4,,,,0,전문 디자인 없음
✗,대응없음,M1,과학·기술,M114,인쇄·제품제작,인쇄 및 제품 제작업,1,,,,0,인쇄·간판 제작 없음
✗,대응없음,N1,시설관리·임대,N101,시설관리,사업시설 유지ㆍ관리 서비스업,1,,,,0,사업시설 유지관리 없음
✗,대응없음,N1,시설관리·임대,N103,조경·유지,조경관리 및 유지 서비스업,1,,,,0,조경관리 없음
✗,대응없음,N1,시설관리·임대,N104,고용 알선,고용 알선 및 인력 공급업,3,,,,0,고용알선·인력공급 없음
✗,대응없음,N1,시설관리·임대,N107,사무 지원,사무 지원 서비스업,4,,,,0,복사·사무지원 없음
✗,대응없음,N1,시설관리·임대,N108,기타 사업 서비스,기타 사업 지원 서비스업,7,,,,0,전시·컨벤션·포장 없음
✗,대응없음,N1,시설관리·임대,N109,운송장비 대여,운송장비 대여업,2,,,,0,운송장비 대여 없음
✗,대응없음,N1,시설관리·임대,N111,산업용품 대여,산업용 기계 및 장비 대여업,3,,,,0,산업용 기계·장비 대여 없음
✗,대응없음,P1,교육,P107,교육 지원,교육 지원 서비스업,2,,,,0,교육컨설팅 없음
✗,대응없음,Q1,보건의료,Q101,병원,병원,5,,,,0,병원급(종합·요양·한방병원) 없음
✗,대응없음,Q1,보건의료,Q104,기타 보건,기타 보건업,3,,,,0,유사 의료업 없음
✗,대응없음,S2,수리·개인,S206,기타 가정용품 수리,기타 개인 및 가정용품 수리업,5,,,,0,의류수선·가죽수선·시계수리 없음
✗,대응없음,S2,수리·개인,S208,욕탕·신체관리,"욕탕, 마사지 및 기타 신체 관리 서비스업",4,,,,0,목욕탕·마사지·체형관리 없음
✗,대응없음,S2,수리·개인,S210,장례식장 ,장례식장 및 관련 서비스업,2,,,,0,장례식장 없음
✗,대응없음,S2,수리·개인,S211,기타 개인,기타 개인서비스,7,,,,0,예식장·결혼상담 없음
✗,대응없음,,,,,,,CS200040,녹음실,미확인(팀파일),0,녹음실 — 우리 75는 정보통신 대분류를 담지 않음
✗,대응없음,,,,,,,CS300023,미용재료,미확인(팀파일),0,미용재료 — G215(화장품)와 G221 사이에 걸쳐 단독 대응 불가
✗,대응없음,,,,,,,CS300043,전자상거래업,서울API 확인,0,전자상거래업 — 무점포라 상가업소 자체에 없음
