STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,U,관광특구,3001491,이태원 관광특구,CS200047,가정용품임대,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300001,슈퍼마켓,26.0,21.0,5.0,8.0,2.0,4.0,1.0
20262,U,관광특구,3001491,이태원 관광특구,CS300002,편의점,23.0,4.0,19.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300003,컴퓨터및주변장치판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300004,핸드폰,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300005,주류도매,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300006,미곡판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300007,육류판매,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300008,수산물판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300009,청과상,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300010,반찬가게,15.0,14.0,1.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300011,일반의류,350.0,349.0,1.0,3.0,11.0,1.0,4.0
20262,U,관광특구,3001491,이태원 관광특구,CS300012,한복점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300013,유아의류,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300014,신발,37.0,37.0,0.0,5.0,2.0,3.0,1.0
20262,U,관광특구,3001491,이태원 관광특구,CS300015,가방,64.0,64.0,0.0,2.0,1.0,2.0,1.0
20262,U,관광특구,3001491,이태원 관광특구,CS300016,안경,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300017,시계및귀금속,19.0,19.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300018,의약품,8.0,6.0,2.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300019,의료기기,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300020,서적,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300021,문구,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300022,화장품,51.0,49.0,2.0,0.0,0.0,8.0,4.0
20262,U,관광특구,3001491,이태원 관광특구,CS300023,미용재료,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300024,운동/경기용품,24.0,24.0,0.0,4.0,1.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300025,자전거 및 기타운송장비,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300026,완구,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300027,섬유제품,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300028,화초,18.0,18.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300029,애완동물,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300030,중고가구,21.0,21.0,0.0,0.0,0.0,10.0,2.0
20262,U,관광특구,3001491,이태원 관광특구,CS300031,가구,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300033,철물점,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300035,인테리어,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300036,조명용품,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300037,중고차판매,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300038,자동차부품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
