system,code,name,parent_code,parent_name
소상공인 중분류,G202,자동차 부품 및 내장품 소매업,G2,소매업
소상공인 중분류,G203,모터사이클 및 부품 소매업,G2,소매업
소상공인 중분류,G204,종합 소매업,G2,소매업
소상공인 중분류,G205,식료품 소매업,G2,소매업
소상공인 중분류,G206,음료 소매업,G2,소매업
소상공인 중분류,G207,담배 소매업,G2,소매업
소상공인 중분류,G208,가전제품 및 정보 통신장비 소매업,G2,소매업
소상공인 중분류,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G2,소매업
소상공인 중분류,G210,"철물, 공구, 창호 및 건설자재 소매업",G2,소매업
소상공인 중분류,G211,가구 소매업,G2,소매업
소상공인 중분류,G212,기타 생활용품 소매업,G2,소매업
소상공인 중분류,G213,"문화, 오락 및 여가 용품 소매업",G2,소매업
소상공인 중분류,G214,연료소매업,G2,소매업
소상공인 중분류,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G2,소매업
소상공인 중분류,G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",G2,소매업
소상공인 중분류,G217,시계 및 귀금속 소매업,G2,소매업
소상공인 중분류,G218,"예술품, 기념품 및 장식용품 소매업",G2,소매업
소상공인 중분류,G219,화초 및 식물 소매업,G2,소매업
소상공인 중분류,G220,애완용 동물 및 관련용품 소매업,G2,소매업
소상공인 중분류,G221,기타 상품 전문 소매업,G2,소매업
소상공인 중분류,G222,중고 상품 소매업,G2,소매업
소상공인 중분류,I101,일반 및 생활 숙박시설 운영업,I1,숙박업
소상공인 중분류,I102,기타 숙박업,I1,숙박업
소상공인 중분류,I201,한식 음식점업,I2,음식점업
소상공인 중분류,I202,중식 음식점업,I2,음식점업
소상공인 중분류,I203,일식 음식점업,I2,음식점업
소상공인 중분류,I204,서양식 음식점업,I2,음식점업
소상공인 중분류,I205,동남아시아 음식점업,I2,음식점업
소상공인 중분류,I206,기타 외국식 음식점업,I2,음식점업
소상공인 중분류,I207,구내식당 및 뷔페,I2,음식점업
소상공인 중분류,I210,기타 간이 음식점업,I2,음식점업
소상공인 중분류,I211,주점업,I2,음식점업
소상공인 중분류,I212,비알코올 음료점업,I2,음식점업
소상공인 중분류,L102,부동산관련 서비스업,L1,부동산업
소상공인 중분류,M103,법무관련 서비스업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M104,회계 및 세무관련 서비스업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M105,광고업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M106,시장 조사 및 여론 조사업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M107,회사 본부 및 경영 컨설팅 서비스업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M111,수의업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M112,전문 디자인업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M113,사진 촬영 및 처리업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M114,인쇄 및 제품 제작업,M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,M115,"그 외 기타 전문, 과학 및 기술 서비스업",M1,"전문, 과학 및 기술 서비스업"
소상공인 중분류,N101,사업시설 유지ㆍ관리 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N102,건물ㆍ산업설비 청소 및 방제 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N103,조경관리 및 유지 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N104,고용 알선 및 인력 공급업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N105,여행사 및 기타 여행 보조 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N107,사무 지원 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N108,기타 사업 지원 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N109,운송장비 대여업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N110,개인 및 가정용품 대여업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,N111,산업용 기계 및 장비 대여업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업"
소상공인 중분류,P105,일반 교육기관,P1,교육 서비스업
소상공인 중분류,P106,기타 교육기관,P1,교육 서비스업
소상공인 중분류,P107,교육 지원 서비스업,P1,교육 서비스업
소상공인 중분류,Q101,병원,Q1,보건의료업
소상공인 중분류,Q102,의원,Q1,보건의료업
소상공인 중분류,Q104,기타 보건업,Q1,보건의료업
소상공인 중분류,R102,"도서관, 사적지 및 유사 여가관련 서비스업",R1,"예술, 스포츠 및 여가관련 서비스업"
소상공인 중분류,R103,스포츠 서비스업,R1,"예술, 스포츠 및 여가관련 서비스업"
소상공인 중분류,R104,유원지 및 기타 오락관련 서비스업,R1,"예술, 스포츠 및 여가관련 서비스업"
소상공인 중분류,S201,컴퓨터 및 주변 기기 수리업,S2,수리 및 개인 서비스업
소상공인 중분류,S202,통신장비 수리업,S2,수리 및 개인 서비스업
소상공인 중분류,S203,자동차 수리 및 세차업,S2,수리 및 개인 서비스업
소상공인 중분류,S204,모터사이클 수리업,S2,수리 및 개인 서비스업
소상공인 중분류,S205,가전제품 수리업,S2,수리 및 개인 서비스업
